batch_size,learning_rate,val_loss,train_loss
16,0.0001,0.7732050985395909,1.3794125951369602
16,0.00021544346900318845,0.604911801584065,1.1596851730585098
16,0.00046415888336127773,0.5157581874653697,1.071408012165626
16,0.001,0.44085405584797266,1.0614989283462366
16,0.002154434690031882,0.45139190450310707,1.0746820690671604
16,0.004641588833612777,0.5160262554958462,1.2074109023133914
16,0.01,1.3005291346088053,1.3189444669047992
16,0.021544346900318822,1.9094359892904758,1.6715655655384063
16,0.046415888336127774,2.433806611895561,2.2007288966178895
16,0.1,5.80232593870163,2.4397107623736063
16,0.21544346900318823,71.79490346550942,3.0298167593955996
16,0.46415888336127775,,
16,1.0,,
23,0.0001,0.8034631776484265,1.398478592353655
23,0.00021544346900318845,0.6258741342087929,1.1162619149835689
23,0.00046415888336127773,0.47245902542945467,0.895211469800411
23,0.001,0.3985511098303243,0.8186972214058241
23,0.002154434690031882,0.37350506929081234,0.8607859790336587
23,0.004641588833612777,0.4094346390512569,0.8478804991083293
23,0.01,0.39759250131339346,0.9615216833443283
23,0.021544346900318822,1.4222505329305242,1.1598405359050878
23,0.046415888336127774,3.1265263109756956,1.482787171797809
23,0.1,64.81439501629478,2.1546605729014994
23,0.21544346900318823,7.58455879695114,2.531920711740126
23,0.46415888336127775,,
23,1.0,,
34,0.0001,0.87426448954364,1.4779552605435802
34,0.00021544346900318845,0.6837400512422546,1.1711356724963309
34,0.00046415888336127773,0.5178989588393498,0.8674580856271236
34,0.001,0.3873459553993228,0.6875082590171365
34,0.002154434690031882,0.3362885627982412,0.6109133604185777
34,0.004641588833612777,0.311225615426014,0.6134397990094028
34,0.01,0.29943516489781313,0.6668964240014047
34,0.021544346900318822,0.3025307959671748,0.7015152160658715
34,0.046415888336127774,0.3294603850345238,0.7499153472462051
34,0.1,13.436761437015512,1.5452608028738086
34,0.21544346900318823,2.2275293325468644,2.0025129757251685
34,0.46415888336127775,297.410271102089,2.9641805792665346
34,1.0,,
50,0.0001,0.9801862355321646,1.5814876361191272
50,0.00021544346900318845,0.7483428215608001,1.2615745777140062
50,0.00046415888336127773,0.5689558347221464,0.9314293528348208
50,0.001,0.45570306745357814,0.6733279646312197
50,0.002154434690031882,0.35489205380436034,0.5322699479448298
50,0.004641588833612777,0.31040862207883035,0.48184377297138176
50,0.01,0.2899599677650258,0.47001254099731643
50,0.021544346900318822,0.2765591940144077,0.502882657473286
50,0.046415888336127774,0.29150261739850974,0.5283925748212884
50,0.1,0.31446129170944914,0.6723338472160201
50,0.21544346900318823,0.4246939662145451,0.901172658453385
50,0.46415888336127775,29.716857474297285,2.5204051842788857
50,1.0,,
74,0.0001,1.1312127928121374,1.7128913354785462
74,0.00021544346900318845,0.8429530465274776,1.3781692646949124
74,0.00046415888336127773,0.6554965117108931,1.0559907539778661
74,0.001,0.4920055275663323,0.7152488085403396
74,0.002154434690031882,0.41087045212951273,0.4887926967770927
74,0.004641588833612777,0.3598497000719429,0.4704214837011662
74,0.01,0.28802289649707463,0.3793449851187031
74,0.021544346900318822,0.28351496088258715,0.3740435702549397
74,0.046415888336127774,0.2727776887835166,0.3992363967359727
74,0.1,0.2906532538798424,0.4671146042194819
74,0.21544346900318823,0.3641060140975025,0.6298149084320933
74,0.46415888336127775,0.49838846976603934,1.1236923597707114
74,1.0,,
109,0.0001,1.3150755891928803,1.8789498638175597
109,0.00021544346900318845,0.9666397160774952,1.5244473001287808
109,0.00046415888336127773,0.7092802347363653,1.1787660919353162
109,0.001,0.5542244017124176,0.8454575472046959
109,0.002154434690031882,0.42892367574008733,0.5325409196973605
109,0.004641588833612777,0.36671654356492533,0.36997421452611495
109,0.01,0.31418905714275064,0.31465958646218634
109,0.021544346900318822,0.29330907147881147,0.3154768215646319
109,0.046415888336127774,0.2801127482104946,0.33410494574950456
109,0.1,0.2760908056956691,0.3493903289455159
109,0.21544346900318823,0.3075416320683183,0.44925349039938317
109,0.46415888336127775,0.47522673272603266,0.7186563049361016
109,1.0,,
161,0.0001,1.5003260135650636,2.0284687454834702
161,0.00021544346900318845,1.095337393283844,1.6733436325599935
161,0.00046415888336127773,0.809506630897522,1.3273979439812116
161,0.001,0.621653790473938,0.9956409015540463
161,0.002154434690031882,0.5096068596839904,0.6500021948331802
161,0.004641588833612777,0.41597690135240556,0.4058884305744644
161,0.01,0.3625324058532715,0.3013696041127951
161,0.021544346900318822,0.3238797718286514,0.2668452145826401
161,0.046415888336127774,0.2906024160981178,0.3146500950204783
161,0.1,0.286105218231678,0.35355553614230323
161,0.21544346900318823,0.3387757746875286,0.36052035831973633
161,0.46415888336127775,0.33433409571647643,0.5867667922465475
161,1.0,,
237,0.0001,1.719041596440708,2.210429886624188
237,0.00021544346900318845,1.2770769385730518,1.831160196420944
237,0.00046415888336127773,0.9538813654114219,1.504416309164826
237,0.001,0.7028447862933663,1.1350687656411993
237,0.002154434690031882,0.5593725600663353,0.7940994686864067
237,0.004641588833612777,0.4562095105648041,0.48116215734321927
237,0.01,0.3872454863260774,0.3077345379358213
237,0.021544346900318822,0.33834415235940146,0.31629911311984765
