num_layers,hidden_sizes,val_loss,train_loss
2,"[1024, 512]",0.4248002803772688,0.5369697996695837
2,"[1024, 256]",0.36659996993467214,0.38586507582267127
2,"[1024, 128]",0.31358765622228385,0.4264139539559682
2,"[1024, 64]",0.29991020074486735,0.5175764663378397
2,"[512, 256]",0.27607391628623007,0.4567834414323171
2,"[512, 128]",0.26320624867081643,0.47630229603449503
2,"[512, 64]",0.32173600563406946,0.5755931950648626
2,"[256, 128]",0.30686940959095954,0.5661804671843846
2,"[256, 64]",0.31577744641900063,0.657338307317098
2,"[128, 64]",0.37534625321626663,0.8025613144397735
3,"[1024, 512, 256]",0.2034039980582893,0.31133559774955116
3,"[1024, 512, 128]",0.21953361174464225,0.3256162719408671
3,"[1024, 512, 64]",0.23115969890356064,0.3559004843314489
3,"[1024, 256, 128]",0.2067893936932087,0.3353386967738469
3,"[1024, 256, 64]",0.2365208834335208,0.36788841048081716
3,"[1024, 128, 64]",0.22031010331213474,0.4135061724503835
3,"[512, 256, 128]",0.21737027180939913,0.37765860114892325
3,"[512, 256, 64]",0.2739605133160949,0.43436088531812034
3,"[512, 128, 64]",0.22216591404378414,0.455754799135526
3,"[256, 128, 64]",0.24642864678800105,0.5493833305199941
4,"[1024, 512, 256, 128]",0.20527931821346282,0.31084113633235294
4,"[1024, 512, 256, 64]",0.20558081793785096,0.3189803146839142
4,"[1024, 512, 128, 64]",0.21275577741488813,0.34860154772996904
4,"[1024, 256, 128, 64]",0.20894788806140424,0.3652525266011556
4,"[512, 256, 128, 64]",0.21659316451847554,0.4041134369293849
5,"[1024, 512, 256, 128, 64]",0.20601521315425633,0.34656031957864764
