optimizer,epoch,train_loss,val_loss
Adam,1,1.647274800046285,0.5674370552301407
Adam,2,1.0366292302449545,0.4233754516839981
Adam,3,0.8333277320226034,0.34913236898183825
Adam,4,0.724300814819336,0.3098867980837822
Adam,5,0.6511995835463206,0.2933632190525532
Adam,6,0.5942190079847972,0.2899021747112274
Adam,7,0.5463722273985545,0.3261349819153547
Adam,8,0.5061498733043671,0.2687795629650354
Adam,9,0.47890686320463816,0.27654616874456406
Adam,10,0.4481588844299316,0.2996980074495077
Adam,11,0.4262156636317571,0.2898790531605482
SGD,1,1.938178822072347,0.841542935848236
SGD,2,1.3540338844299316,0.6255571339130401
SGD,3,1.1141060788472494,0.5163389183282853
SGD,4,0.9553952069918314,0.44596263563632965
SGD,5,0.8477763679027558,0.40928291648626325
SGD,6,0.7598793574333191,0.38701108723878863
SGD,7,0.6897118645509084,0.3722816019654274
SGD,8,0.6401660608291626,0.3448474915623665
SGD,9,0.597940607992808,0.321962987780571
SGD,10,0.5458433356285095,0.32002807819843293
SGD,11,0.507827250401179,0.31225737372040746
SGD,12,0.4785939729054769,0.3043617076650262
SGD,13,0.4404764958222707,0.30228754284977916
SGD,14,0.42299546948273975,0.2961546825915575
SGD,15,0.39975298300584156,0.3075070992708206
SGD,16,0.3874938129663467,0.29814499253034593
SGD,17,0.3689827145457268,0.3003824591636658
RMSprop,1,1.595174371433258,0.5399155087471008
RMSprop,2,0.9889325297991435,0.401403426527977
RMSprop,3,0.7889059852600098,0.346100165784359
RMSprop,4,0.6753604365825653,0.3071751662492752
RMSprop,5,0.5994014563560486,0.290146291077137
RMSprop,6,0.5429771244923274,0.27665636712312697
RMSprop,7,0.49543817292849224,0.28142341271042826
RMSprop,8,0.4608670992056529,0.25603517770767215
RMSprop,9,0.4293797026991844,0.24748036912083626
RMSprop,10,0.4026393861492475,0.25948448562622073
RMSprop,11,0.37615763339598973,0.2670699303597212
RMSprop,12,0.3543903614759445,0.2406825894638896
RMSprop,13,0.340234148756663,0.26076149962842465
RMSprop,14,0.319717170826594,0.2585728416983038
RMSprop,15,0.3070001684725285,0.24848401832208036
