hidden_sizes,dropout_rate,lr,batch_size,val_accuracy,train_loss,val_loss,train_acc,val_acc,history
"[1024, 512, 256]",0.3027777316965566,0.003569592147611839,32,87.52,0.687590350331401,1.1925463164877739,79.44666666666667,87.52,"{""train_loss"": [1.702578016117946, 1.0976481857076128, 0.8761272250907, 0.7698577188574938, 0.687590350331401], ""val_loss"": [2.0220650990677487, 3.469566390013239, 0.6428649702649207, 1.204377584254286, 1.1925463164877739], ""train_acc"": [44.81, 66.25666666666666, 73.48666666666666, 76.82, 79.44666666666667], ""val_acc"": [73.6, 81.14, 83.44, 85.26, 87.52]}"
"[512, 256, 128]",0.38837804386739166,0.0006381417719792149,64,83.56,0.9089710374376667,0.5570371901687188,72.06,83.56,"{""train_loss"": [2.310201610583486, 1.5624299270511945, 1.2499913400424314, 1.043471368009856, 0.9089710374376667], ""val_loss"": [1.4887121961086611, 1.001432002345218, 0.7618370093876803, 0.6419212139105495, 0.5570371901687188], ""train_acc"": [25.60333333333333, 49.556666666666665, 59.99666666666667, 67.47333333333333, 72.06], ""val_acc"": [57.2, 71.5, 78.76, 81.32, 83.56]}"
"[256, 128]",0.4544368728877685,0.00019747820856997204,64,68.24,1.5119686571519766,1.143344317810445,50.77333333333333,68.24,"{""train_loss"": [2.7485765444952794, 2.206974165017671, 1.8829165918232282, 1.6704494419382578, 1.5119686571519766], ""val_loss"": [2.207915758784813, 1.7751213357418398, 1.4753929693487626, 1.2755587312239636, 1.143344317810445], ""train_acc"": [14.473333333333333, 29.35333333333333, 39.39666666666667, 45.64666666666667, 50.77333333333333], ""val_acc"": [36.72, 49.3, 58.5, 63.56, 68.24]}"
"[512, 256, 128]",0.470303687998891,0.0022481127731839813,64,83.64,1.058585137446552,0.5792227900480922,67.4,83.64,"{""train_loss"": [2.1644532802516716, 1.5861478733863912, 1.3262598030348576, 1.1593588718981631, 1.058585137446552], ""val_loss"": [1.3502048042756092, 0.9853549312941635, 0.758226410497593, 0.6711264546913437, 0.5792227900480922], ""train_acc"": [28.546666666666667, 47.95333333333333, 57.42333333333333, 63.25, 67.4], ""val_acc"": [56.94, 71.5, 78.36, 80.16, 83.64]}"
